"PubTitle","n","Area","Quartile"
"Brain",1,"Neurology (clinical)",1
"Child Development",1,"Education",1
"Conflict Resolution Quarterly",1,"Law",1
"Cortex",1,"Experimental and Cognitive Psychology",1
"Estudos de Psicologia (Campinas)",1,"Psychology (all)",3
"Frontiers in Psychology",4,"Psychology (all)",2
"Integrative Psychological and Behavioral Science",1,"Cultural Studies",1
"International Journal of Behavioral Development",1,"Social Sciences (miscellaneous)",1
"Journal of Cancer Education",1,"Public Health, Environmental and Occupational Health",2
"Parkinson's Disease",1,"Psychiatry and Mental Health",2
"Peace Review",1,"Arts and Humanities (all)",2
"Political Psychology",1,"Philosophy",1
"Psicothema",1,"Psychology (all)",1
"Psychosocial Intervention",2,"Social Psychology",1
"Revista Chilena de Anestesia",1,"Anesthesiology and Pain Medicine",4
"Revista Criminalidad",1,"Law",3
"Revista de Estudios Sociales",1,"History",1
"Social Indicators Research",3,"Sociology and Political Science",1
"Subjectivity",1,"Social Psychology",3
"Transport Policy",1,"Geography, Planning and Development",1
"Universitas Psychologica",24,"Psychology (all)",3
